Rig,Level,Temperature,Humidity,Timestamp,Latitude,Longitude
Tana Lower,5.21,23.64,51.01,2025-06-13 18:14:19.807174+00:00,0,0
Tana Lower,5.29,25.9,64.01,2025-06-13 18:14:16.691557+00:00,0,0
Tana Lower,6.38,29.72,58.64,2025-06-13 18:14:13.575883+00:00,0,0
Tana Lower,9.19,21.9,54.12,2025-06-13 18:14:10.452459+00:00,0,0
Tana Upper,7.56,24.55,53.43,2025-06-13 18:14:07.323925+00:00,0,0
Tana Center,7.61,24.98,65.33,2025-06-13 18:14:04.162909+00:00,0,0
Tana Center,7.24,27.55,50.99,2025-06-13 18:14:01.048371+00:00,0,0
Tana Center,8.65,27.4,67.64,2025-06-13 18:13:57.935676+00:00,0,0
Tana Upper,6.01,23.35,58.84,2025-06-13 18:13:54.784120+00:00,0,0
Tana Upper,6.6,28.38,60.15,2025-06-13 18:13:51.660856+00:00,0,0
Tana Upper,8.54,21.11,55.59,2025-06-13 18:13:48.361890+00:00,0,0
Tana Lower,6.9,21,63.3,2025-06-13 18:13:43.275567+00:00,0,0
Tana Lower,5.84,29.93,67.75,2025-06-13 18:13:40.155833+00:00,0,0
Tana Upper,6.22,26.38,67.07,2025-06-13 18:13:37.040798+00:00,0,0
Tana Center,6.35,29.64,63.33,2025-06-13 18:13:33.779241+00:00,0,0
Tana Center,5.61,27.53,54.73,2025-06-13 18:13:30.646410+00:00,0,0
Tana Lower,5.92,25.73,69.84,2025-06-13 18:13:27.533373+00:00,0,0
Tana Lower,6.1,22.87,59.16,2025-06-13 18:13:24.417216+00:00,0,0
Tana Center,5.89,26.4,58.45,2025-06-13 18:13:21.288312+00:00,0,0
Tana Upper,8.17,24.24,58.42,2025-06-13 18:13:18.172267+00:00,0,0
Tana Upper,8.51,27.1,56.99,2025-06-13 18:13:14.980147+00:00,0,0
Tana Center,7.64,28.52,60.34,2025-06-13 18:13:11.795819+00:00,0,0
Tana Lower,8.75,24.19,58.64,2025-06-13 18:13:08.591224+00:00,0,0
Tana Center,9.46,26.78,58.7,2025-06-13 18:13:05.459712+00:00,0,0
Tana Center,8.84,28.9,69.63,2025-06-13 18:13:02.328337+00:00,0,0
Tana Center,6.11,29.91,65.96,2025-06-13 18:12:59.213825+00:00,0,0
Tana Center,9.91,27.02,68.32,2025-06-13 18:12:56.098935+00:00,0,0
Tana Lower,6.01,20.01,69.17,2025-06-13 18:12:52.983314+00:00,0,0
Tana Lower,9.7,22.36,54.52,2025-06-13 18:12:49.867482+00:00,0,0
Tana Center,9.83,27.29,66.68,2025-06-13 18:12:46.745613+00:00,0,0
Tana Center,7.78,22.2,66.49,2025-06-13 18:12:43.549426+00:00,0,0
Tana Center,5.78,24.44,69.66,2025-06-13 18:12:40.390101+00:00,0,0
Tana Lower,5.96,25.74,58.96,2025-06-13 18:12:37.246302+00:00,0,0
Tana Lower,6.87,29.96,50.96,2025-06-13 18:12:34.059476+00:00,0,0
Tana Lower,8.37,20.04,58.32,2025-06-13 18:12:30.938218+00:00,0,0
Tana Center,9.99,26.98,66.51,2025-06-13 18:12:27.779652+00:00,0,0
Tana Upper,5.06,20.06,55.93,2025-06-13 18:12:24.662365+00:00,0,0
Tana Center,7.49,22.89,55.38,2025-06-13 18:12:21.463009+00:00,0,0
Tana Lower,6.24,21.2,61.85,2025-06-13 18:12:18.327215+00:00,0,0
Tana Upper,6.14,25.26,57.43,2025-06-13 18:12:15.182872+00:00,0,0
Tana Upper,6.59,29.46,52.77,2025-06-13 18:12:12.063729+00:00,0,0
Tana Lower,7.52,23.05,60.71,2025-06-13 18:12:08.898472+00:00,0,0
Tana Upper,8.62,22.47,50.17,2025-06-13 18:12:05.694458+00:00,0,0
Tana Center,6.22,25.19,52.85,2025-06-13 18:12:02.573571+00:00,0,0
Tana Upper,6.71,22.31,51.68,2025-06-13 18:11:59.446577+00:00,0,0
Tana Lower,8.17,28.05,65.27,2025-06-13 18:11:56.309463+00:00,0,0
Tana Center,6.74,25.46,65.4,2025-06-13 18:11:53.193204+00:00,0,0
Tana Upper,8.02,28.35,52.62,2025-06-13 18:11:49.981468+00:00,0,0
Tana Upper,7.78,23.37,54.64,2025-06-13 18:11:46.866141+00:00,0,0
Tana Upper,7.45,24.37,66.01,2025-06-13 18:11:43.711661+00:00,0,0
